0xa0 @s@s             NO-BREAK SPACE
0x20b9 $R             ₹ INDIAN RUPEE SIGN
0x2150 1/7            ⅐ VULGAR FRACTION ONE SEVENTH
0x2151 1/9            ⅑ VULGAR FRACTION ONE NINTH
0x2152 1/10           ⅒ VULGAR FRACTION ONE TENTH
0x2153 1/3            ⅓ VULGAR FRACTION ONE THIRD
0x2154 2/3            ⅔ VULGAR FRACTION TWO THIRDS
0x2155 1/5            ⅕ VULGAR FRACTION ONE FIFTH
0x2156 2/5            ⅖ VULGAR FRACTION TWO FIFTHS
0x2157 3/5            ⅗ VULGAR FRACTION THREE FIFTHS
0x2158 4/5            ⅘ VULGAR FRACTION FOUR FIFTHS
0x2159 1/6            ⅙ VULGAR FRACTION ONE SIXTH
0x215a 5/6            ⅚ VULGAR FRACTION FIVE SIXTHS
0x215b 1/8            ⅛ VULGAR FRACTION ONE EIGHTH
0x215c 3/8            ⅜ VULGAR FRACTION THREE EIGHTHS
0x215d 5/8            ⅝ VULGAR FRACTION FIVE EIGHTHS
0x215e 7/8            ⅞ VULGAR FRACTION SEVEN EIGHTHS
0x215f 1/@s           ⅟ FRACTION NUMERATOR ONE
0x2190 <-             ← LEFTWARDS ARROW
0x2191 ^|             ↑ UPWARDS ARROW
0x2191 |^             ↑ UPWARDS ARROW
0x2192 ->             → RIGHTWARDS ARROW
0x2193 |v             ↓ DOWNWARDS ARROW
0x2193 v|             ↓ DOWNWARDS ARROW
0x2194 <>             ↔ LEFT RIGHT ARROW
0x2195 ^v             ↕ UP DOWN ARROW
0x2195 v^             ↕ UP DOWN ARROW
0x2196 <\             ↖ NORTH WEST ARROW
0x2197 />             ↗ NORTH EAST ARROW
0x2198 \>             ↘ SOUTH EAST ARROW
0x2199 </             ↙ SOUTH WEST ARROW
0x219c <~             ↜ LEFTWARDS WAVE ARROW
0x219d ~>             ↝ RIGHTWARDS WAVE ARROW
0x2200 fa             ∀ FOR ALL
0x2203 te             ∃ THERE EXISTS
0x2205 {}             ∅ EMPTY SET
0x2208 lm             ∈ ELEMENT OF
0x220e qed            ∎ END OF PROOF
0x2213 -+             ∓ MINUS-OR-PLUS SIGN
0x221a v_             √ SQUARE ROOT
0x221a sqrt           √ SQUARE ROOT
0x221e inf            ∞ INFINITY
0x221e 00             ∞ INFINITY
0x2248 ~~             ≈ ALMOST EQUAL TO
0x2254 :=             ≔ COLON EQUALS
0x2255 =:             ≕ EQUALS COLON
0x2260 /=             ≠ NOT EQUAL TO
0x2260 =/             ≠ NOT EQUAL TO
0x2261 -=             ≡ IDENTICAL TO
0x2264 =<             ≤ LESS-THAN OR EQUAL TO
0x2265 >=             ≥ GREATER-THAN OR EQUAL TO
0x27e6 [[             ⟦ MATHEMATICAL LEFT WHITE SQUARE BRACKET
0x27e7 ]]             ⟧ MATHEMATICAL RIGHT WHITE SQUARE BRACKET
0x27e8 |<             ⟨ MATHEMATICAL LEFT ANGLE BRACKET
0x27e9 |>             ⟩ MATHEMATICAL RIGHT ANGLE BRACKET
0x27ea |@@<<          ⟪ MATHEMATICAL LEFT DOUBLE ANGLE BRACKET
0x27eb |@@>>          ⟫ MATHEMATICAL RIGHT DOUBLE ANGLE BRACKET
0x2c60 L=             Ⱡ LATIN CAPITAL LETTER L WITH DOUBLE BAR
0x2c61 l=             ⱡ LATIN SMALL LETTER L WITH DOUBLE BAR
0x2c62 L~             Ɫ LATIN CAPITAL LETTER L WITH MIDDLE TILDE
0x2c63 P-             Ᵽ LATIN CAPITAL LETTER P WITH STROKE
0x2c64 rR             Ɽ LATIN CAPITAL LETTER R WITH TAIL
0x2c65 a/             ⱥ LATIN SMALL LETTER A WITH STROKE
0x2c6d AH             Ɑ LATIN CAPITAL LETTER ALPHA
0x2c6e MV             Ɱ LATIN CAPITAL LETTER M WITH HOOK
0x2c6f \A             Ɐ LATIN CAPITAL LETTER TURNED A
0x2c70 AO             Ɒ LATIN CAPITAL LETTER TURNED ALPHA
0x2c71 v<             ⱱ LATIN SMALL LETTER V WITH RIGHT HOOK
0x2c72 W<             Ⱳ LATIN CAPITAL LETTER W WITH HOOK
0x2c73 w<             ⱳ LATIN SMALL LETTER W WITH HOOK
0x2c7c *j             ⱼ LATIN SUBSCRIPT SMALL LETTER J
0x2c7e S,             Ȿ LATIN CAPITAL LETTER S WITH SWASH TAIL
0x2c7f Z,             Ɀ LATIN CAPITAL LETTER Z WITH SWASH TAIL
0xa726 Hg             Ꜧ LATIN CAPITAL LETTER HENG
0xa727 hg             ꜧ LATIN SMALL LETTER HENG
0xa728 Tz             Ꜩ LATIN CAPITAL LETTER TZ
0xa729 tz             ꜩ LATIN SMALL LETTER TZ
0xa730 ;f             ꜰ LATIN LETTER SMALL CAPITAL F
0xa731 ;s             ꜱ LATIN LETTER SMALL CAPITAL S
0xa740 K-             Ꝁ LATIN CAPITAL LETTER K WITH STROKE
0xa741 k-             ꝁ LATIN SMALL LETTER K WITH STROKE
0xa742 K/             Ꝃ LATIN CAPITAL LETTER K WITH DIAGONAL STROKE
0xa743 k/             ꝃ LATIN SMALL LETTER K WITH DIAGONAL STROKE
0xa746 L|             Ꝇ LATIN CAPITAL LETTER BROKEN L
0xa747 l|             ꝇ LATIN SMALL LETTER BROKEN L
0xa75a Ro             Ꝛ LATIN CAPITAL LETTER R ROTUNDA
0xa75b ro             ꝛ LATIN SMALL LETTER R ROTUNDA
0xa78e r@@lh          ꞎ LATIN SMALL LETTER L WITH RETROFLEX HOOK AND BELT
0xa794 %c             ꞔ LATIN SMALL LETTER C WITH PALATAL HOOK
0xa795 %h             ꞕ LATIN SMALL LETTER H WITH PALATAL HOOK
0xa79a VAE            Ꞛ LATIN CAPITAL LETTER VOLAPUK AE
0xa79b Vae            ꞛ LATIN SMALL LETTER VOLAPUK AE
0xa79c VOE            Ꞝ LATIN CAPITAL LETTER VOLAPUK OE
0xa79d Voe            ꞝ LATIN SMALL LETTER VOLAPUK OE
0xa79e VUE            Ꞟ LATIN CAPITAL LETTER VOLAPUK UE
0xa79f Vue            ꞟ LATIN SMALL LETTER VOLAPUK UE
0xa7aa HH             Ɦ LATIN CAPITAL LETTER H WITH HOOK
0xa7ac GG             Ɡ LATIN CAPITAL LETTER SCRIPT G
0xa7ad LH             Ɬ LATIN CAPITAL LETTER L WITH BELT
0xa7b0 \K             Ʞ LATIN CAPITAL LETTER TURNED K
0xa7b1 \T             Ʇ LATIN CAPITAL LETTER TURNED T
0xa7b2 JH             Ʝ LATIN CAPITAL LETTER J WITH CROSSED-TAIL
0xa7b3 LX             Ꭓ LATIN CAPITAL LETTER CHI
0xa7b4 LB             Ꞵ LATIN CAPITAL LETTER BETA
0xa7b5 lb             ꞵ LATIN SMALL LETTER BETA
0xa7b6 LO             Ꞷ LATIN CAPITAL LETTER OMEGA
0xa7b7 lo             ꞷ LATIN SMALL LETTER OMEGA
0xa7f9 @s@@oe         ꟹ MODIFIER LETTER SMALL LIGATURE OE
0xab53 lx             ꭓ LATIN SMALL LETTER CHI
0xfb06 st             ﬆ LATIN SMALL LIGATURE ST
