0xa0 @s@s             NO-BREAK SPACE
0x156 ,R             Ŗ LATIN CAPITAL LETTER R WITH CEDILLA
0x157 ,r             ŗ LATIN SMALL LETTER R WITH CEDILLA
0x158 vR             Ř LATIN CAPITAL LETTER R WITH CARON
0x159 vr             ř LATIN SMALL LETTER R WITH CARON
0x15a 'S             Ś LATIN CAPITAL LETTER S WITH ACUTE
0x15b 's             ś LATIN SMALL LETTER S WITH ACUTE
0x15c ^S             Ŝ LATIN CAPITAL LETTER S WITH CIRCUMFLEX
0x15d ^s             ŝ LATIN SMALL LETTER S WITH CIRCUMFLEX
0x15e ,S             Ş LATIN CAPITAL LETTER S WITH CEDILLA
0x15f ,s             ş LATIN SMALL LETTER S WITH CEDILLA
0x160 vS             Š LATIN CAPITAL LETTER S WITH CARON
0x161 vs             š LATIN SMALL LETTER S WITH CARON
0x162 ,T             Ţ LATIN CAPITAL LETTER T WITH CEDILLA
0x163 ,t             ţ LATIN SMALL LETTER T WITH CEDILLA
0x164 vT             Ť LATIN CAPITAL LETTER T WITH CARON
0x165 vt             ť LATIN SMALL LETTER T WITH CARON
0x166 T-             Ŧ LATIN CAPITAL LETTER T WITH STROKE
0x167 t-             ŧ LATIN SMALL LETTER T WITH STROKE
0x168 ~U             Ũ LATIN CAPITAL LETTER U WITH TILDE
0x169 ~u             ũ LATIN SMALL LETTER U WITH TILDE
0x16a -U             Ū LATIN CAPITAL LETTER U WITH MACRON
0x16b -u             ū LATIN SMALL LETTER U WITH MACRON
0x16c )U             Ŭ LATIN CAPITAL LETTER U WITH BREVE
0x16d )u             ŭ LATIN SMALL LETTER U WITH BREVE
0x16e 0U             Ů LATIN CAPITAL LETTER U WITH RING ABOVE
0x16f 0u             ů LATIN SMALL LETTER U WITH RING ABOVE
0x170 =U             Ű LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
0x171 =u             ű LATIN SMALL LETTER U WITH DOUBLE ACUTE
0x172 ,U             Ų LATIN CAPITAL LETTER U WITH OGONEK
0x173 ,u             ų LATIN SMALL LETTER U WITH OGONEK
0x174 ^W             Ŵ LATIN CAPITAL LETTER W WITH CIRCUMFLEX
0x175 ^w             ŵ LATIN SMALL LETTER W WITH CIRCUMFLEX
0x176 ^Y             Ŷ LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
0x177 ^y             ŷ LATIN SMALL LETTER Y WITH CIRCUMFLEX
0x178 "Y             Ÿ LATIN CAPITAL LETTER Y WITH DIAERESIS
0x179 'Z             Ź LATIN CAPITAL LETTER Z WITH ACUTE
0x17a 'z             ź LATIN SMALL LETTER Z WITH ACUTE
0x17b .Z             Ż LATIN CAPITAL LETTER Z WITH DOT ABOVE
0x17c .z             ż LATIN SMALL LETTER Z WITH DOT ABOVE
0x17d vZ             Ž LATIN CAPITAL LETTER Z WITH CARON
0x17e vz             ž LATIN SMALL LETTER Z WITH CARON
0x17f fs             ſ LATIN SMALL LETTER LONG S
0x180 b-             ƀ LATIN SMALL LETTER B WITH STROKE
0x181 B<             Ɓ LATIN CAPITAL LETTER B WITH HOOK
0x186 OA             Ɔ LATIN CAPITAL LETTER OPEN O
0x187 C<             Ƈ LATIN CAPITAL LETTER C WITH HOOK
0x188 c<             ƈ LATIN SMALL LETTER C WITH HOOK
0x189 RD             Ɖ LATIN CAPITAL LETTER AFRICAN D
0x18a D<             Ɗ LATIN CAPITAL LETTER D WITH HOOK
0x18e /E             Ǝ LATIN CAPITAL LETTER REVERSED E
0x18e \E             Ǝ LATIN CAPITAL LETTER REVERSED E
0x18f EE             Ə LATIN CAPITAL LETTER SCHWA
0x190 EA             Ɛ LATIN CAPITAL LETTER OPEN E
0x191 FJ             Ƒ LATIN CAPITAL LETTER F WITH HOOK
0x192 fj             ƒ LATIN SMALL LETTER F WITH HOOK
0x193 G<             Ɠ LATIN CAPITAL LETTER G WITH HOOK
0x194 GH             Ɣ LATIN CAPITAL LETTER GAMMA
0x195 hw             ƕ LATIN SMALL LETTER HV
0x197 I-             Ɨ LATIN CAPITAL LETTER I WITH STROKE
0x198 K<             Ƙ LATIN CAPITAL LETTER K WITH HOOK
0x199 k<             ƙ LATIN SMALL LETTER K WITH HOOK
0x19a l-             ƚ LATIN SMALL LETTER L WITH BAR
0x19b tl             ƛ LATIN SMALL LETTER LAMBDA WITH STROKE
0x19c \M             Ɯ LATIN CAPITAL LETTER TURNED M
0x19d NJ             Ɲ LATIN CAPITAL LETTER N WITH LEFT HOOK
0x19e |n             ƞ LATIN SMALL LETTER N WITH LONG RIGHT LEG
0x19f O-             Ɵ LATIN CAPITAL LETTER O WITH MIDDLE TILDE
0x1a0 hO             Ơ LATIN CAPITAL LETTER O WITH HORN
0x1a1 ho             ơ LATIN SMALL LETTER O WITH HORN
0x1a4 P<             Ƥ LATIN CAPITAL LETTER P WITH HOOK
0x1a5 p<             ƥ LATIN SMALL LETTER P WITH HOOK
0x1a9 SH             Ʃ LATIN CAPITAL LETTER ESH
0x1aa @@shw          ƪ LATIN LETTER REVERSED ESH LOOP
0x1ab %t             ƫ LATIN SMALL LETTER T WITH PALATAL HOOK
0x1ac T<             Ƭ LATIN CAPITAL LETTER T WITH HOOK
0x1ad t<             ƭ LATIN SMALL LETTER T WITH HOOK
0x1ae RT             Ʈ LATIN CAPITAL LETTER T WITH RETROFLEX HOOK
0x1af hU             Ư LATIN CAPITAL LETTER U WITH HORN
0x1b0 hu             ư LATIN SMALL LETTER U WITH HORN
0x1b1 UU             Ʊ LATIN CAPITAL LETTER UPSILON
0x1b2 VW             Ʋ LATIN CAPITAL LETTER V WITH HOOK
0x1b3 Y<             Ƴ LATIN CAPITAL LETTER Y WITH HOOK
0x1b4 y<             ƴ LATIN SMALL LETTER Y WITH HOOK
0x1b5 Z-             Ƶ LATIN CAPITAL LETTER Z WITH STROKE
0x1b6 z-             ƶ LATIN SMALL LETTER Z WITH STROKE
0x1b7 ZH             Ʒ LATIN CAPITAL LETTER EZH
0x1b8 /@@ZH          Ƹ LATIN CAPITAL LETTER EZH REVERSED
0x1b9 /@@zh          ƹ LATIN SMALL LETTER EZH REVERSED
0x1ba @@zhw          ƺ LATIN SMALL LETTER EZH WITH TAIL
0x1bb 2-             ƻ LATIN LETTER TWO WITH STROKE
0x1be \?-            ƾ LATIN LETTER INVERTED GLOTTAL STOP WITH STROKE
0x1bf wn             ƿ LATIN LETTER WYNN
0x1c0 @<d            ǀ LATIN LETTER DENTAL CLICK
0x1c0 @<|            ǀ LATIN LETTER DENTAL CLICK
0x1c1 @<"            ǁ LATIN LETTER LATERAL CLICK
0x1c1 @<l            ǁ LATIN LETTER LATERAL CLICK
0x1c2 @<j            ǂ LATIN LETTER ALVEOLAR CLICK
0x1c2 @<=            ǂ LATIN LETTER ALVEOLAR CLICK
0x1c3 @<!            ǃ LATIN LETTER RETROFLEX CLICK
0x1c3 @<r            ǃ LATIN LETTER RETROFLEX CLICK
0x1c4 D+@@vZ         Ǆ LATIN CAPITAL LETTER DZ WITH CARON
0x1c5 D+@@vz         ǅ LATIN CAPITAL LETTER D WITH SMALL LETTER Z WITH CARON
0x1c6 d+@@vz         ǆ LATIN SMALL LETTER DZ WITH CARON
0x1c7 L+J            Ǉ LATIN CAPITAL LETTER LJ
0x1c8 L+j            ǈ LATIN CAPITAL LETTER L WITH SMALL LETTER J
0x1c9 l+j            ǉ LATIN SMALL LETTER LJ
0x1ca N+J            Ǌ LATIN CAPITAL LETTER NJ
0x1cb N+j            ǋ LATIN CAPITAL LETTER N WITH SMALL LETTER J
0x1cc n+j            ǌ LATIN SMALL LETTER NJ
0x1cd vA             Ǎ LATIN CAPITAL LETTER A WITH CARON
0x1ce va             ǎ LATIN SMALL LETTER A WITH CARON
0x1cf vI             Ǐ LATIN CAPITAL LETTER I WITH CARON
0x1d0 vi             ǐ LATIN SMALL LETTER I WITH CARON
0x1d1 vO             Ǒ LATIN CAPITAL LETTER O WITH CARON
0x1d2 vo             ǒ LATIN SMALL LETTER O WITH CARON
0x1d3 vU             Ǔ LATIN CAPITAL LETTER U WITH CARON
0x1d4 vu             ǔ LATIN SMALL LETTER U WITH CARON
0x1d5 -"U            Ǖ LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON
0x1d6 -"u            ǖ LATIN SMALL LETTER U WITH DIAERESIS AND MACRON
0x1d7 '"U            Ǘ LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE
0x1d8 '"u            ǘ LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE
0x1d9 v"U            Ǚ LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON
0x1da v"u            ǚ LATIN SMALL LETTER U WITH DIAERESIS AND CARON
0x1db `"U            Ǜ LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE
0x1dc `"u            ǜ LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE
0x1dd \e             ǝ LATIN SMALL LETTER TURNED E
0x1de -"A            Ǟ LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON
0x1df -"a            ǟ LATIN SMALL LETTER A WITH DIAERESIS AND MACRON
0x1e0 -.A            Ǡ LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON
0x1e1 -.a            ǡ LATIN SMALL LETTER A WITH DOT ABOVE AND MACRON
0x1e2 -@@AE          Ǣ LATIN CAPITAL LETTER AE WITH MACRON
0x1e3 -@@ae          ǣ LATIN SMALL LETTER AE WITH MACRON
0x1e4 G-             Ǥ LATIN CAPITAL LETTER G WITH STROKE
0x1e5 g-             ǥ LATIN SMALL LETTER G WITH STROKE
0x1e6 vG             Ǧ LATIN CAPITAL LETTER G WITH CARON
0x1e7 vg             ǧ LATIN SMALL LETTER G WITH CARON
0x1e8 vK             Ǩ LATIN CAPITAL LETTER K WITH CARON
0x1e9 vk             ǩ LATIN SMALL LETTER K WITH CARON
0x1ea ,O             Ǫ LATIN CAPITAL LETTER O WITH OGONEK
0x1eb ,o             ǫ LATIN SMALL LETTER O WITH OGONEK
0x1ec ,-O            Ǭ LATIN CAPITAL LETTER O WITH OGONEK AND MACRON
0x1ed ,-o            ǭ LATIN SMALL LETTER O WITH OGONEK AND MACRON
0x1ee v@@ZH          Ǯ LATIN CAPITAL LETTER EZH WITH CARON
0x1ef v@@zh          ǯ LATIN SMALL LETTER EZH WITH CARON
0x1f0 vj             ǰ LATIN SMALL LETTER J WITH CARON
0x1f1 D+Z            Ǳ LATIN CAPITAL LETTER DZ
0x1f2 D+z            ǲ LATIN CAPITAL LETTER D WITH SMALL LETTER Z
0x1f3 d+z            ǳ LATIN SMALL LETTER DZ
0x1f4 'G             Ǵ LATIN CAPITAL LETTER G WITH ACUTE
0x1f5 'g             ǵ LATIN SMALL LETTER G WITH ACUTE
0x1f6 HW             Ƕ LATIN CAPITAL LETTER HWAIR
0x1f7 WN             Ƿ LATIN CAPITAL LETTER WYNN
0x1f8 `N             Ǹ LATIN CAPITAL LETTER N WITH GRAVE
0x1f9 `n             ǹ LATIN SMALL LETTER N WITH GRAVE
0x1fa '0A            Ǻ LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE
0x1fb '0a            ǻ LATIN SMALL LETTER A WITH RING ABOVE AND ACUTE
0x1fc '@@AE          Ǽ LATIN CAPITAL LETTER AE WITH ACUTE
0x1fd '@@ae          ǽ LATIN SMALL LETTER AE WITH ACUTE
0x1fe '@@O/          Ǿ LATIN CAPITAL LETTER O WITH STROKE AND ACUTE
0x1ff '@@o/          ǿ LATIN SMALL LETTER O WITH STROKE AND ACUTE
0x200 ``A            Ȁ LATIN CAPITAL LETTER A WITH DOUBLE GRAVE
0x201 ``a            ȁ LATIN SMALL LETTER A WITH DOUBLE GRAVE
0x202 (A             Ȃ LATIN CAPITAL LETTER A WITH INVERTED BREVE
0x203 (a             ȃ LATIN SMALL LETTER A WITH INVERTED BREVE
0x204 ``E            Ȅ LATIN CAPITAL LETTER E WITH DOUBLE GRAVE
0x205 ``e            ȅ LATIN SMALL LETTER E WITH DOUBLE GRAVE
0x206 (E             Ȇ LATIN CAPITAL LETTER E WITH INVERTED BREVE
0x207 (e             ȇ LATIN SMALL LETTER E WITH INVERTED BREVE
0x208 ``I            Ȉ LATIN CAPITAL LETTER I WITH DOUBLE GRAVE
0x209 ``i            ȉ LATIN SMALL LETTER I WITH DOUBLE GRAVE
0x20a (I             Ȋ LATIN CAPITAL LETTER I WITH INVERTED BREVE
0x20b (i             ȋ LATIN SMALL LETTER I WITH INVERTED BREVE
0x20c ``O            Ȍ LATIN CAPITAL LETTER O WITH DOUBLE GRAVE
0x20d ``o            ȍ LATIN SMALL LETTER O WITH DOUBLE GRAVE
0x20e (O             Ȏ LATIN CAPITAL LETTER O WITH INVERTED BREVE
0x20f (o             ȏ LATIN SMALL LETTER O WITH INVERTED BREVE
0x210 ``R            Ȑ LATIN CAPITAL LETTER R WITH DOUBLE GRAVE
0x211 ``r            ȑ LATIN SMALL LETTER R WITH DOUBLE GRAVE
0x212 (R             Ȓ LATIN CAPITAL LETTER R WITH INVERTED BREVE
0x213 (r             ȓ LATIN SMALL LETTER R WITH INVERTED BREVE
0x214 ``U            Ȕ LATIN CAPITAL LETTER U WITH DOUBLE GRAVE
0x215 ``u            ȕ LATIN SMALL LETTER U WITH DOUBLE GRAVE
0x216 (U             Ȗ LATIN CAPITAL LETTER U WITH INVERTED BREVE
0x217 (u             ȗ LATIN SMALL LETTER U WITH INVERTED BREVE
0x218 ,.S            Ș LATIN CAPITAL LETTER S WITH COMMA BELOW
0x219 ,.s            ș LATIN SMALL LETTER S WITH COMMA BELOW
0x21a ,.T            Ț LATIN CAPITAL LETTER T WITH COMMA BELOW
0x21b ,.t            ț LATIN SMALL LETTER T WITH COMMA BELOW
0x21c YO             Ȝ LATIN CAPITAL LETTER YOGH
0x21d yo             ȝ LATIN SMALL LETTER YOGH
0x21e vH             Ȟ LATIN CAPITAL LETTER H WITH CARON
0x21f vh             ȟ LATIN SMALL LETTER H WITH CARON
0x220 |N             Ƞ LATIN CAPITAL LETTER N WITH LONG RIGHT LEG
0x221 cD             ȡ LATIN SMALL LETTER D WITH CURL
0x222 OU             Ȣ LATIN CAPITAL LETTER OU
0x223 ou             ȣ LATIN SMALL LETTER OU
0x226 .A             Ȧ LATIN CAPITAL LETTER A WITH DOT ABOVE
0x227 .a             ȧ LATIN SMALL LETTER A WITH DOT ABOVE
0x228 ,.E            Ȩ LATIN CAPITAL LETTER E WITH CEDILLA
0x229 ,.e            ȩ LATIN SMALL LETTER E WITH CEDILLA
0x22a -"O            Ȫ LATIN CAPITAL LETTER O WITH DIAERESIS AND MACRON
0x22b -"o            ȫ LATIN SMALL LETTER O WITH DIAERESIS AND MACRON
0x22c -~O            Ȭ LATIN CAPITAL LETTER O WITH TILDE AND MACRON
0x22d -~o            ȭ LATIN SMALL LETTER O WITH TILDE AND MACRON
0x22e .O             Ȯ LATIN CAPITAL LETTER O WITH DOT ABOVE
0x22f .o             ȯ LATIN SMALL LETTER O WITH DOT ABOVE
0x230 -.O            Ȱ LATIN CAPITAL LETTER O WITH DOT ABOVE AND MACRON
0x231 -.o            ȱ LATIN SMALL LETTER O WITH DOT ABOVE AND MACRON
0x232 -Y             Ȳ LATIN CAPITAL LETTER Y WITH MACRON
0x233 -y             ȳ LATIN SMALL LETTER Y WITH MACRON
0x234 cl             ȴ LATIN SMALL LETTER L WITH CURL
0x235 cn             ȵ LATIN SMALL LETTER N WITH CURL
0x236 ct             ȶ LATIN SMALL LETTER T WITH CURL
0x237 .j             ȷ LATIN SMALL LETTER DOTLESS J
0x238 db             ȸ LATIN SMALL LETTER DB DIGRAPH
0x239 qp             ȹ LATIN SMALL LETTER QP DIGRAPH
0x23a A/             Ⱥ LATIN CAPITAL LETTER A WITH STROKE
0x23b C/             Ȼ LATIN CAPITAL LETTER C WITH STROKE
0x23c c/             ȼ LATIN SMALL LETTER C WITH STROKE
0x23d L-             Ƚ LATIN CAPITAL LETTER L WITH BAR
0x23e T/             Ⱦ LATIN CAPITAL LETTER T WITH DIAGONAL STROKE
0x23f s,             ȿ LATIN SMALL LETTER S WITH SWASH TAIL
0x240 z,             ɀ LATIN SMALL LETTER Z WITH SWASH TAIL
0x241 QQ             Ɂ LATIN CAPITAL LETTER GLOTTAL STOP
